model,model_params,category,difficulty,target_lang,original_text,translation,reference,eval_precision,eval_naturalness,eval_coverage,eval_notes
qwen2.5:14b,14B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Me gustaría comer queso,Me gustaría comer queso fundido,7.5,7.0,8.0,Aceptable
qwen2.5:14b,14B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,J'aimerais manger du fromage,J'aimerais manger du fromage fondu,7.5,7.5,8.0,Aceptable
qwen2.5:14b,14B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,I would like some cheese,I would like to eat melted cheese,7.0,7.0,8.0,Aceptable
qwen2.5:14b,14B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Cómo va el trabajo?,¿Cómo va el trabajo?,9.0,9.0,8.5,Excelente
qwen2.5:14b,14B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Comment va le travail?,Comment va le travail?,9.0,9.0,8.5,Excelente
qwen2.5:14b,14B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,How is work going?,How is work going?,9.0,9.0,8.5,Excelente
qwen2.5:14b,14B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer es una gran fiesta en Luxemburgo,La Schueberfouer es una gran fiesta en Luxemburgo,9.0,9.0,9.0,Excelente
qwen2.5:14b,14B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer est une grande fête au Luxembourg,La Schueberfouer est une grande fête au Luxembourg,9.0,9.0,9.0,Excelente
qwen2.5:14b,14B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is a big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,9.0,9.0,9.0,Excelente
qwen2.5:32b,32B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,¡Hola! ¿Cómo estás?,¡Hola! ¿Cómo estás?,9.5,9.5,9.0,Excelente
qwen2.5:32b,32B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Salut ! Comment vas-tu ?,Salut! Comment vas-tu?,9.5,9.5,9.0,Excelente
qwen2.5:32b,32B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,9.5,9.5,9.0,Excelente
qwen2.5:32b,32B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Me llamo Claude y soy de Luxemburgo,Me llamo Claude y soy de Luxemburgo,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Je m'appelle Claude et je viens du Luxembourg,Je m'appelle Claude et je viens du Luxembourg,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,My name is Claude and I'm from Luxembourg,My name is Claude and I'm from Luxembourg,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Me gustaría comer queso fundido,Me gustaría comer queso fundido,9.0,9.0,9.0,Excelente
qwen2.5:32b,32B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,J'aimerais manger du fromage fondu,J'aimerais manger du fromage fondu,9.0,9.0,9.0,Excelente
qwen2.5:32b,32B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,I would like to eat melted cheese,I would like to eat melted cheese,9.0,9.0,9.0,Excelente
qwen2.5:32b,32B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Cómo va el trabajo?,¿Cómo va el trabajo?,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Comment va le travail?,Comment va le travail?,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,How is work going?,How is work going?,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer es una gran fiesta en Luxemburgo,La Schueberfouer es una gran fiesta en Luxemburgo,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer est une grande fête au Luxembourg,La Schueberfouer est une grande fête au Luxembourg,9.5,9.5,9.5,Excelente
qwen2.5:32b,32B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is a big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,9.5,9.5,9.5,Excelente
