model,model_params,category,difficulty,target_lang,original_text,translation,reference,eval_precision,eval_naturalness,eval_coverage,eval_notes
qwen2.5:7b,14B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,He is named Claude and he is from Luxembourg,My name is Claude and I'm from Luxembourg,0,0,0,
qwen2.5:7b,14B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Sólo hay un camino para seguir.,Me gustaría comer queso fundido,0,0,0,
qwen2.5:7b,14B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,Seules les vérités absolues existent,J'aimerais manger du fromage fondu,0,0,0,
qwen2.5:7b,14B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,EACH GIVEN IS A GIFT,I would like to eat melted cheese,0,0,0,
qwen2.5:7b,14B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Qué mécht de trabajo?,¿Cómo va el trabajo?,0,0,0,
qwen2.5:7b,14B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Quel est le droit du travail?,Comment va le travail?,0,0,0,
qwen2.5:7b,14B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What is Labour?,How is work going?,0,0,0,
qwen2.5:7b,14B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,D'Schueberfouer es un gran festival de Luxemburgo,La Schueberfouer es una gran fiesta en Luxemburgo,0,0,0,
qwen2.5:7b,14B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,D'Schueberfouer est un grand festival à Luxembourg,La Schueberfouer est une grande fête au Luxembourg,0,0,0,
qwen2.5:7b,14B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,Schueberfouer is a big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,0,0,0,
qwen2.5:14b,14B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,Buenos días ¿cómo estás?,¡Hola! ¿Cómo estás?,0,0,0,
qwen2.5:14b,14B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment ça va ?,Salut! Comment vas-tu?,0,0,0,
qwen2.5:14b,14B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Good morning! How are you?,Hello! How are you?,0,0,0,
qwen2.5:14b,14B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Te llamo Claude y yo soy de Luxemburgo,Me llamo Claude y soy de Luxemburgo,0,0,0,
qwen2.5:14b,14B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Je m'appelle Claude et je viens du Luxembourg,Je m'appelle Claude et je viens du Luxembourg,0,0,0,
qwen2.5:14b,14B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,"My translation of the Luxembourgish text to English is:

Text: My name is Claude and I am from Luxembourg",My name is Claude and I'm from Luxembourg,0,0,0,
qwen2.5:14b,14B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Te dan demasiada prisa comer,Me gustaría comer queso fundido,0,0,0,
qwen2.5:14b,14B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,On va au café boire un café,J'aimerais manger du fromage fondu,0,0,0,
qwen2.5:14b,14B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,Translation: Give us some cake please,I would like to eat melted cheese,0,0,0,
qwen2.5:14b,14B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,Traducción: ¿Qué es el Trabajo?,¿Cómo va el trabajo?,0,0,0,
qwen2.5:14b,14B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Qu'est-ce que l'Œuvre ?,Comment va le travail?,0,0,0,
qwen2.5:14b,14B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What is the Work?,How is work going?,0,0,0,
qwen2.5:14b,14B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,"La traducción es:

""El Schueberfouer es el gran festival de Luxemburgo""",La Schueberfouer es una gran fiesta en Luxemburgo,0,0,0,
qwen2.5:14b,14B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,Le Schueberfouer est le grand festival à Luxembourg,La Schueberfouer est une grande fête au Luxembourg,0,0,0,
qwen2.5:14b,14B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is the big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,0,0,0,
qwen2.5:32b,32B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,¡Hola! ¿Cómo estás?,¡Hola! ¿Cómo estás?,0,0,0,
qwen2.5:32b,32B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment ça va ?,Salut! Comment vas-tu?,0,0,0,
qwen2.5:32b,32B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,0,0,0,
qwen2.5:32b,32B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Te llamo Claude y soy de Luxemburgo,Me llamo Claude y soy de Luxemburgo,0,0,0,
qwen2.5:32b,32B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Je m'appelle Claude et je suis du Luxembourg,Je m'appelle Claude et je viens du Luxembourg,0,0,0,
qwen2.5:32b,32B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,I met Claude and I am from Luxembourg,My name is Claude and I'm from Luxembourg,0,0,0,
qwen2.5:32b,32B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Te he dado solo un cacahuetes para comer.,Me gustaría comer queso fundido,0,0,0,
qwen2.5:32b,32B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,J'ai mangé un gaufre.,J'aimerais manger du fromage fondu,0,0,0,
qwen2.5:32b,32B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,I want to eat some cake too.,I would like to eat melted cheese,0,0,0,
qwen2.5:32b,32B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Qué es el trabajo?,¿Cómo va el trabajo?,0,0,0,
qwen2.5:32b,32B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Quelle est l'heure du travail?,Comment va le travail?,0,0,0,
qwen2.5:32b,32B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What is work?,How is work going?,0,0,0,
qwen2.5:32b,32B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer es una gran fiesta en Luxemburgo.,La Schueberfouer es una gran fiesta en Luxemburgo,0,0,0,
qwen2.5:32b,32B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Foire du Schueberfouer est une grande fête à Luxembourg,La Schueberfouer est une grande fête au Luxembourg,0,0,0,
qwen2.5:32b,32B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is a big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,0,0,0,
