model,model_params,category,difficulty,target_lang,original_text,translation,reference,eval_precision,eval_naturalness,eval_coverage,eval_notes
qwen2.5:14b,14B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,"La traducción es:

""El Schueberfouer es el gran festival de Luxemburgo""",La Schueberfouer es una gran fiesta en Luxemburgo,5.0,6.0,7.3,Traducción aceptable
qwen2.5:14b,14B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,Le Schueberfouer est le grand festival à Luxembourg,La Schueberfouer est une grande fête au Luxembourg,4.6,5.6,6.8,Traducción aceptable
qwen2.5:14b,14B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is the big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,6.3,5.6,6.8,Buena traducción
qwen2.5:32b,32B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,¡Hola! ¿Cómo estás?,¡Hola! ¿Cómo estás?,8.8,8.0,8.6,Excelente traducción
qwen2.5:32b,32B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment ça va ?,Salut! Comment vas-tu?,4.9,7.8,9.0,Traducción aceptable
qwen2.5:32b,32B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,8.0,8.1,8.9,Excelente traducción
qwen2.5:32b,32B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Te llamo Claude y soy de Luxemburgo,Me llamo Claude y soy de Luxemburgo,7.2,8.0,8.9,Buena traducción
qwen2.5:32b,32B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Je m'appelle Claude et je suis du Luxembourg,Je m'appelle Claude et je viens du Luxembourg,8.0,7.6,8.8,Excelente traducción
qwen2.5:32b,32B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,I met Claude and I am from Luxembourg,My name is Claude and I'm from Luxembourg,6.6,7.5,8.6,Buena traducción
qwen2.5:32b,32B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Te he dado una galleta para comer.,Me gustaría comer queso fundido,4.9,7.6,8.2,Traducción aceptable
qwen2.5:32b,32B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,J'ai mangé un cake.,J'aimerais manger du fromage fondu,5.0,7.8,8.7,Traducción aceptable
qwen2.5:32b,32B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,I want to eat some cake too.,I would like to eat melted cheese,5.6,7.6,8.9,Traducción aceptable
qwen2.5:32b,32B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Qué es el Trabajo?,¿Cómo va el trabajo?,6.7,7.5,9.3,Buena traducción
qwen2.5:32b,32B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Qu'est-ce que le travail?,Comment va le travail?,6.6,7.9,8.8,Buena traducción
qwen2.5:32b,32B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What is work?,How is work going?,6.7,7.9,8.7,Buena traducción
qwen2.5:32b,32B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Schueberfouer es una gran fiesta en Luxemburgo.,La Schueberfouer es una gran fiesta en Luxemburgo,6.9,7.1,7.2,Buena traducción
qwen2.5:32b,32B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,La Fête du Schueberfouer est une grande fête à Luxembourg,La Schueberfouer est une grande fête au Luxembourg,7.1,7.1,7.3,Buena traducción
qwen2.5:32b,32B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is a big festival in Luxembourg,The Schueberfouer is a big festival in Luxembourg,7.0,7.1,8.1,Buena traducción
